LanguageId	LanguageValue
Enter Facility ID	Entrer l'identifiant de l'établissement
Enter Customer Account Number	Entrez le numéro de compte client
Software Options	Options logicielles
Gateway	Passerelle
Module Configuration	Configuration du module
Software Version	Version logiciel
Hardware Version	Version matériel
User Interface Computer	Interface utilisateur
Remote Control Receiver	Récepteur de télécommande
Multimedia Center	Centre Multimedia
FCIB	Récepteur de la pédale de contrôle
FCIB Bluetooth Module	Module Bluetooth du récepteur de la pédale de contrôle
Foot Control	Pédale de contrôle
Foot Control Bluetooth Module	Module Bluetooth de la pédale de contrôle
Foot Control Battery	Batterie de la pédale
Fluidics Module	Module Fluidique
Ultrasound Module	Module à ultrasons
IV Pole Controller	Contrôle de la potence
Compressor Module	Module compresseur
Power Supply Module	Module d'alimentation
Posterior Module	Module postérieur
Laser Module	Module laser
Illumination Module	Module d'éclairage
Gateway Module	Module de passerelle
SIM 1 Module	SIM 1
SIM 2 Module	SIM 2
Case #	Cas #
View Record	Voir l'enregistrement des données de la chirurgie
Total Aspiration 1 Activations	Nombre total de déclenchement de l'aspiration 1
Total Aspiration 2 Activations	Nombre total de déclenchement de l'aspiration 2
Total Main Aspiration Activation	Nombre total de déclenchement de l'aspiration principale
Total Aspiration On Time	Durée totale d'activation de l'aspiration
Total Cassette / Cartridge Captures	Nombre total d'insertion de la cassette pendant le cas
Total Irrigation Activations	Nombre total de déclenchement de l'irrigation
Total On Time of Module	Durée totale d'activation du module
Total Fluid Vent Activations	Nombre total de déclenchement de l'évent
Total Vitrectomy Activations	Nombre total de déclenchement de la vitrectomie
Total Activations of Reflux Pinch	Nombre total de déclenchement du piston de reflux
Accumulator Pump On/Off Cycles	Cycles marche / arrêt de la pompe
Accumulator Pump Run Time	Durée de fonctionnement de la pompe
Total Bottle Infusion Activations	Nombre total de déclenchement de l'infusion
Rotary Vane Pump On/Off Cycles	Cycles marche / arrêt de la pompe péristaltique
Rotary Vane Pump Run Time	Durée de fonctionnement de la pompe péristaltique
Number of Activations of the AFX Selection Valve	Nombre total de déclenchement de la vanne de sélection AFX
Total Bottle Infusion Compressor Cycles	Nombre total de cycles de compresseur d'infusion de la bouteille
On Time of Bottle Infusion Compressor	Durée d'utilisation de l'infusion préssurisée
Number of Activations of Bottle Selection Valve	Nombre d'activations de la valve d'infusion
Total Number of Venturi Regulator Valve Cycles	Nombre total de cycles d'ouverture de la valve venturi
Venturi Regulator On Time	Durée totale d'activation du système Venturi
VFI Pump On/Off Cycles	Cycles d'activation / désactivation de pompe VFI
VFI Pump Run Time	Durée d'utilisation de la pompe VFI
Total Number of VFI Valve Activations	Nombre total d'activations de vanne VFI
Total On/Off Cycles of the Vit Regulator	Total des cycles marche / arrêt du régulateur Vit
On Time of Vit Regulator	Durée d'utilisation du régulateur Vit
Foot Control Battery Charge Count	Nombre de charge de la batterie
Treatment Laser On Time	Nombre total des tirs laser
Aiming Laser Pulse On Time	Nombre d'impulsions du laser de visée
Treatment Laser Pulse Count	Nombre d'impulsions laser
IV Pole Home Switch Activations	Nombre d'activation de la potence
IV Pole Total Travel	Nombre total de mouvements de potence
Light Source 1 Ballast Time	Ampoule 1 - Temps d'utilisation du Ballast
Light Source 1 Failed Start Attempts	Ampoule 1 - Nombre de tentative échouée d'allumage
Light Source 1 Total Filter System Movement	Ampoule 1 - Nombte total de mouvements de l'atténuateur
Light Source 1 Total On Commands	Ampoule 1 - Durée d'utilisation
Lamp 1 Total Start Pulses	Ampoule 1 - Nombre total d'impulsions avant allumage
Light Source 2 Ballast Time	Ampoule 2 - Temps d'utilisation du Ballast
Light Source 2 Failed Start Attempts	Ampoule 2 - Nombre d'échec d'allumage
Light Source 2 Total Filter System Movement	Ampoule 2 - Nombte total de mouvements de l'atténuateur
Light Source 2 Total On Commands	Ampoule 2 - Durée d'utilisation
Lamp 2 Total Start Pulses	Ampoule 2 - Nombre total d'impulsions avant allumage
Light Source 1 Bad Starts Count	Ampoule 1 - Nombre total d'échec d'allumage
Light Source 1 End of Life	Ampoule 1 en fin de vie
Light Source 1 End of Life Time	Ampoule 1 - Durée d'utilisation maximum autorisée (min)
Lamp 1 Not Good To Use	Ampoule 1 - à ne pas utiliser
Lamp 1 Max Allowed Fail to Starts	Ampoule 1 - Nombre d'échec de démarrage autorisé
Lamp 1 Number of Lamp Moves	Ampoule 1 - Nombre de déplacement d'un système à un autre
Lamp 1 Near End of Life	Ampoule 1 - Durée d'utilisation maximum avant alerte proche fin de vie
Lamp 1 On Time	Ampoule 1 - Durée d'utilisation
Lamp 1 Max Safe Operating Voltage	Ampoule 1 - Tension maximale pour une utilisation sécurisée
Lamp 1 Current Selection Type	Ampoule 1 - Sélection du type de tension
Lamp 1 Total Start Attempts	Ampoule 1 - Nombre total de tentative d'allumage
Lamp 1 Total Strike Attempts	Ampoule 1 - Nombre d'impulsions maximum pour une tentative d'allumage
Lamp 1 Type Variant	Ampoule 1 - Type d'ampoule
Light Source 2 Bad Starts Count	Ampoule 2 - Nombre total d'échec d'allumage
Light Source 2 End of Life	Ampoule 2 en fin de vie
Light Source 2 End of Life Time	Ampoule 2 - Durée d'utilisation maximum autorisée (min)
Lamp 2 Not Good To Use	Ampoule 1 - à ne pas utiliser
Lamp 2 Max Allowed Fail to Starts	Ampoule 2 - Nombre d'échec de démarrage autorisé
Lamp 2 Number of Lamp Moves	Ampoule 2 - Nombre de déplacement d'un système à un autre
Lamp 2 Near End of Life	Ampoule 2 - Durée d'utilisation maximum avant alerte proche fin de vie
Lamp 2 On Time	Ampoule 2 - Durée d'utilisation
Lamp 2 Max Safe Operating Voltage	Ampoule 2 - Tension maximale pour une utilisation sécurisée
Lamp 2 Current Selection Type	Ampoule 2 - Sélection du type de tension
Lamp 2 Total Start Attempts	Ampoule 2 - Nombre total de tentative d'allumage
Lamp 2 Total Strike Attempts	Ampoule 2 - Nombre d'impulsions maximum pour une tentative d'allumage
Lamp 2 Type Variant	Ampoule 2 - Type d'ampoule
Enabled	activé
Disabled	Désactivé
View More	Voir plus
Unpair from	Dissocier de
Pair to	Associer à
Re-Birth	Réactiver
Ticket Details	Détails du dossier
No Responders to display	Aucun intervenant disponible
No Assigned Users to display	Aucun chirurgien programmé sur la machine
Case Details	Détails du cas
Sales Area	Zone vente
Sales Territory	Secteur vente
Service Area	Zone SAV
Service Region	Région SAV
Service Territory	Secteur SAV
No support users to display	Aucun référent B+L assigné
Continue	Continuez
Case	Cas
Ensure VPN or direct network connection to Bausch.com domain before continuing.	Assurez-vous que vous avec une connection réseau ou VPN au domaine Bausch.com avant de continuer.
Automated launching of the RealVNC application is not available in this version. Please ensure you are connected to the Bausch network, manually launch the RealVNC desktop application, and connect to 12345	Le lancement automatique de l'application Real/VNC n'est pas disponible dans cette version. Veuillez vous assurer d'être connecté au réseau Bausch pour lancer manuellement l'application Real/vnc et connectez-vous au 12345
The device with id:SPC03276 already exists.	Le machine SPC03276 existe déjà.
Sim already activated.	Sim déjà activée.
File saved successfully and configuration file for SPC03276 has been emailed to test123@test.com	Les fichiers ont été sauvegardés avec succès et la configuration du SPC03276 a été envoyé par email à l'adresse test123@test.com
User with ID:1234566 and all its files have been deleted.	L'utilisateur avec l'identifiant 1234566 et tous ses fichiers ont été supprimés.
The user with email: test123@test.com already exists.	L'utilisateur avec l'email : test123@test.com existe déjà.
660 Max Vacuum	660 Max Vacuum
2000 mW Max Laser	2000 mW Max Laser
Posterior Adaptive Fluidics	Fluidique adaptative postérieure
Internal	Interne
Surgery Summary	Résumé de la chirurgie
Enter Facility Address	Entrez l'adresse de l'établissement
Export	Exportation
Sales Manager (Cat RBD)	Sales Manager (Cat RBD)
Sales Manager (Ret RBD)	Sales Manager (Ret RBD)
Sales Manager (Cat DIR)	Sales Manager (Cat DIR)
Sales Manager (Ret DIR)	Sales Manager (Ret DIR)
Field Sales (SES)	Field Sales (SES)
Field Sales (STM)	Field Sales (STM)
Field Sales (RTM)	Field Sales (RTM)
Field Sales (RKAE)	Field Sales (RKAE)
Done	Fait
Middle name	Deuxième nom
Display name	Nom d'affichage et nom
Enter Middle Name	Entrez le deuxième prénom
Enter Display name	Entrez le nom d'affichage
Unpair from support user	Dissocier de l'utilisateur d'assistance
Pair to support user	Associer pour prendre en charge l'utilisateur
Active since	Actif depuis
Debugger	Debugger
